section,k,avg_acc,run_idx,run_acc,elapsed_s,errors,prompt_per_sample,completion_per_sample
summary,5,0.774582560296846,,,,,,
summary,10,0.7866419294990723,,,,,,
summary,15,0.8024118738404453,,,,,,
summary,20,0.8051948051948052,,,,,,
summary,25,0.8089053803339518,,,,,,
summary,30,0.8214285714285714,,,,,,
summary,35,0.8297773654916512,,,,,,
summary,40,0.8205009276437848,,,,,,
summary,45,0.8325602968460112,,,,,,
summary,50,0.8256029684601114,,,,,,
summary,55,0.8242115027829313,,,,,,
summary,60,0.8307050092764379,,,,,,
detail,5,,1,0.7717996289424861,102.10132598876953,0,705.7068645640074,68.12801484230056
detail,5,,2,0.7773654916512059,107.94399857521057,0,705.7068645640074,67.87940630797773
detail,5,,3,0.7755102040816326,120.18063378334045,0,705.7068645640074,67.99443413729128
detail,5,,4,0.7736549165120594,100.05014824867249,0,705.7068645640074,68.29313543599258
detail,10,,1,0.7847866419294991,96.41237735748291,0,837.0445269016698,66.24489795918367
detail,10,,2,0.7866419294990723,128.37928080558777,0,837.0445269016698,65.84601113172542
detail,10,,3,0.7903525046382189,104.9076247215271,0,837.0445269016698,65.58070500927644
detail,10,,4,0.7847866419294991,82.43265414237976,0,837.0445269016698,66.20408163265306
detail,15,,1,0.8070500927643784,86.49196696281433,0,970.5658627087198,67.11317254174396
detail,15,,2,0.7940630797773655,96.67300534248352,0,970.5658627087198,67.0556586270872
detail,15,,3,0.8033395176252319,84.01418781280518,0,970.5658627087198,67.02597402597402
detail,15,,4,0.8051948051948052,101.049001455307,0,970.5658627087198,67.23376623376623
detail,20,,1,0.8070500927643784,108.63992261886597,0,1103.408163265306,67.52504638218925
detail,20,,2,0.8051948051948052,114.19443893432617,0,1103.408163265306,67.23376623376623
detail,20,,3,0.8070500927643784,112.2110071182251,0,1103.408163265306,66.90352504638219
detail,20,,4,0.8014842300556586,111.46361589431763,0,1103.408163265306,67.38775510204081
detail,25,,1,0.8107606679035251,191.21464228630066,0,1236.5361781076067,66.34137291280149
detail,25,,2,0.8033395176252319,709.1834635734558,0,1236.5361781076067,66.3265306122449
detail,25,,3,0.8144712430426716,98.80919003486633,0,1236.5361781076067,66.15213358070501
detail,25,,4,0.8070500927643784,129.81711673736572,0,1236.5361781076067,66.28942486085343
detail,30,,1,0.8274582560296846,127.1039686203003,0,1371.2987012987012,67.66604823747682
detail,30,,2,0.8181818181818182,101.89013338088989,0,1371.2987012987012,67.6604823747681
detail,30,,3,0.8218923933209648,225.9694263935089,0,1371.2987012987012,67.92207792207792
detail,30,,4,0.8181818181818182,206.1506314277649,0,1371.2987012987012,68.06493506493507
detail,35,,1,0.8293135435992579,116.77241563796997,0,1507.948051948052,67.79406307977736
detail,35,,2,0.8256029684601113,165.21494388580322,0,1507.948051948052,67.61410018552876
detail,35,,3,0.8330241187384044,163.82194638252258,0,1507.948051948052,67.92022263450835
detail,35,,4,0.8311688311688312,164.66620755195618,0,1507.948051948052,68.15027829313543
detail,40,,1,0.8200371057513914,155.86859250068665,0,1641.8181818181818,68.17439703153988
detail,40,,2,0.8181818181818182,124.65173673629761,0,1641.8181818181818,68.13543599257885
detail,40,,3,0.8200371057513914,118.65727257728577,0,1641.8181818181818,68.16883116883118
detail,40,,4,0.8237476808905381,139.84769368171692,0,1641.8181818181818,68.20222634508349
detail,45,,1,0.8348794063079777,143.65196776390076,0,1766.1892393320966,68.55287569573284
detail,45,,2,0.8311688311688312,214.55581259727478,0,1766.1892393320966,68.65677179962894
detail,45,,3,0.8348794063079777,154.8349323272705,0,1766.1892393320966,68.56400742115028
detail,45,,4,0.8293135435992579,109.30604600906372,0,1766.1892393320966,68.94805194805195
detail,50,,1,0.8274582560296846,113.69642114639282,0,1874.4267161410019,68.18923933209648
detail,50,,2,0.8237476808905381,142.38731598854065,0,1874.4267161410019,68.02968460111317
detail,50,,3,0.8200371057513914,107.06217312812805,0,1874.4267161410019,68.04823747680891
detail,50,,4,0.8311688311688312,107.58714485168457,0,1874.4267161410019,68.24860853432283
detail,55,,1,0.8274582560296846,145.4899561405182,0,1951.8051948051948,69.02968460111317
detail,55,,2,0.8237476808905381,237.4248764514923,0,1951.8051948051948,68.76623376623377
detail,55,,3,0.8237476808905381,131.36349296569824,0,1951.8051948051948,68.17439703153988
detail,55,,4,0.8218923933209648,153.44586181640625,0,1951.8051948051948,68.41372912801484
detail,60,,1,0.8367346938775511,163.21742987632751,0,1978.47866419295,68.03896103896103
detail,60,,2,0.8293135435992579,154.34517335891724,0,1978.47866419295,68.06493506493507
detail,60,,3,0.8274582560296846,129.39618968963623,0,1978.47866419295,67.84786641929499
detail,60,,4,0.8293135435992579,117.08575201034546,0,1978.47866419295,68.10018552875695
